Factorial,Time
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.010000
6,0.000000
7,0.000000
8,0.010000
9,0.000000
10,0.000000
11,0.010000
12,0.000000
13,0.000000
14,0.010000
15,0.000000
16,0.010000
17,0.000000
18,0.010000
19,0.000000
20,0.010000
21,0.010000
22,0.000000
23,0.010000
24,0.010000
25,0.010000
26,0.000000
27,0.010000
28,0.010000
29,0.010000
30,0.010000
31,0.010000
32,0.010000
33,0.010000
34,0.010000
35,0.010000
36,0.010000
37,0.010000
38,0.010000
39,0.020000
40,0.010000
41,0.010000
42,0.010000
43,0.020000
44,0.010000
45,0.010000
46,0.020000
47,0.010000
48,0.020000
49,0.010000
50,0.020000
51,0.010000
52,0.020000
53,0.020000
54,0.010000
55,0.020000
56,0.020000
57,0.010000
58,0.020000
59,0.020000
60,0.020000
61,0.020000
62,0.020000
63,0.010000
64,0.020000
65,0.020000
66,0.020000
67,0.020000
68,0.030000
69,0.020000
70,0.020000
71,0.020000
72,0.020000
73,0.020000
74,0.030000
75,0.020000
76,0.020000
77,0.030000
78,0.020000
79,0.020000
80,0.030000
81,0.020000
82,0.030000
83,0.020000
84,0.030000
85,0.030000
86,0.020000
87,0.030000
88,0.030000
89,0.020000
90,0.030000
91,0.030000
92,0.030000
93,0.020000
94,0.030000
95,0.030000
96,0.030000
97,0.030000
98,0.030000
99,0.030000
100,0.030000
101,0.030000
102,0.030000
103,0.030000
104,0.040000
105,0.030000
106,0.030000
107,0.030000
108,0.030000
109,0.040000
110,0.030000
111,0.040000
112,0.030000
113,0.030000
114,0.040000
115,0.030000
116,0.040000
117,0.040000
118,0.030000
119,0.040000
120,0.030000
121,0.040000
122,0.040000
123,0.040000
124,0.030000
125,0.040000
126,0.040000
127,0.040000
128,0.040000
129,0.040000
130,0.040000
131,0.040000
132,0.040000
133,0.040000
134,0.040000
135,0.040000
136,0.040000
137,0.050000
138,0.040000
139,0.040000
140,0.040000
141,0.050000
142,0.040000
143,0.040000
144,0.050000
145,0.040000
146,0.050000
147,0.040000
148,0.050000
149,0.040000
150,0.050000
151,0.040000
152,0.050000
153,0.050000
154,0.040000
155,0.050000
156,0.050000
157,0.040000
158,0.050000
159,0.050000
160,0.050000
161,0.050000
162,0.050000
163,0.050000
164,0.050000
165,0.050000
166,0.050000
167,0.050000
168,0.050000
169,0.050000
170,0.050000
171,0.060000
172,0.050000
173,0.050000
174,0.050000
175,0.060000
176,0.050000
177,0.050000
178,0.060000
179,0.050000
180,0.060000
181,0.050000
182,0.060000
183,0.050000
184,0.060000
185,0.060000
186,0.050000
187,0.060000
188,0.060000
189,0.060000
190,0.060000
191,0.050000
192,0.060000
193,0.060000
194,0.060000
195,0.060000
196,0.060000
197,0.060000
198,0.060000
199,0.060000
200,0.060000
201,0.060000
202,0.060000
203,0.070000
204,0.060000
205,0.060000
206,0.070000
207,0.060000
208,0.060000
209,0.070000
210,0.060000
211,0.070000
212,0.060000
213,0.070000
214,0.060000
