Factorial,Time
1988,0.610000
2774,0.840000
2677,0.810000
3489,1.060000
2279,0.690000
1772,0.530000
1015,0.310000
1866,0.570000
2599,0.790000
3129,0.950000
3023,0.920000
2756,0.830000
2526,0.760000
2466,0.750000
3185,0.960000
2338,0.700000
2791,0.850000
2427,0.730000
1663,0.500000
1226,0.370000
1884,0.570000
3290,0.990000
2430,0.730000
2506,0.760000
1454,0.440000
1495,0.450000
3920,1.180000
3180,0.960000
3795,1.150000
3508,1.060000
1580,0.480000
2203,0.680000
3249,0.990000
2780,0.840000
2900,0.890000
3421,1.030000
2398,0.730000
1145,0.350000
2941,0.890000
1377,0.420000
2710,0.820000
2762,0.830000
1581,0.480000
2962,0.890000
2053,0.620000
2590,0.780000
3285,0.990000
3003,0.910000
3955,1.190000
2877,0.870000
1965,0.600000
3802,1.150000
2419,0.730000
1442,0.430000
1880,0.570000
3567,1.080000
2207,0.660000
2633,0.800000
2991,0.900000
3706,1.120000
2921,0.880000
3843,1.160000
1240,0.370000
1873,0.570000
1641,0.500000
3147,0.940000
2031,0.620000
2998,0.900000
1624,0.490000
2822,0.850000
1438,0.440000
2915,0.880000
1865,0.560000
3289,0.990000
2719,0.820000
1302,0.400000
1618,0.480000
2731,0.830000
2486,0.750000
2593,0.780000
2554,0.780000
1878,0.570000
2454,0.750000
2450,0.740000
2801,0.850000
1276,0.390000
1267,0.380000
1950,0.600000
3642,1.100000
1188,0.360000
3362,1.010000
2627,0.800000
3227,0.970000
3625,1.100000
3146,0.950000
3455,1.040000
2972,0.900000
1127,0.340000
3845,1.160000
3925,1.180000
3557,1.080000
1397,0.420000
2722,0.820000
2570,0.780000
2155,0.650000
3318,1.000000
1904,0.570000
1672,0.510000
2158,0.650000
1160,0.350000
3098,0.940000
2924,0.890000
2051,0.620000
2951,0.900000
1693,0.510000
2697,0.820000
2074,0.630000
2545,0.770000
2007,0.610000
1224,0.370000
1645,0.500000
2771,0.840000
1614,0.490000
1927,0.590000
3486,1.060000
2872,0.870000
1322,0.400000
3502,1.070000
3789,1.150000
2160,0.650000
3811,1.160000
2354,0.710000
3620,1.100000
3049,0.930000
2672,0.810000
1455,0.440000
1436,0.440000
1692,0.510000
1411,0.430000
1077,0.330000
1511,0.460000
2874,0.870000
3718,1.130000
1164,0.360000
3326,1.010000
3461,1.050000
2377,0.720000
3355,1.020000
1340,0.400000
2744,0.840000
2146,0.650000
1524,0.460000
1598,0.480000
3083,0.930000
2276,0.690000
1460,0.440000
1758,0.530000
2829,0.850000
3961,1.200000
1741,0.520000
1995,0.600000
2825,0.850000
1676,0.510000
3573,1.080000
2312,0.700000
3013,0.910000
1723,0.520000
2868,0.860000
3833,1.160000
3617,1.090000
2749,0.840000
1726,0.520000
3402,1.030000
3488,1.060000
3223,0.980000
1767,0.540000
1590,0.480000
2062,0.630000
1510,0.450000
2786,0.850000
1197,0.370000
2848,0.860000
1638,0.500000
2315,0.700000
2671,0.810000
1642,0.500000
1154,0.350000
1804,0.550000
2533,0.770000
2248,0.680000
2418,0.740000
2957,0.900000
2856,0.860000
1307,0.400000
2152,0.650000
3696,1.130000
2568,0.780000
1462,0.440000
3299,1.000000
1719,0.520000
3501,1.060000
3565,1.080000
2810,0.860000
1115,0.340000
3043,0.920000
3358,1.020000
3199,0.970000
3639,1.110000
3070,0.930000
3646,1.100000
1680,0.510000
1049,0.320000
2646,0.800000
2117,0.640000
3244,0.980000
2481,0.740000
1771,0.540000
3495,1.050000
1630,0.500000
2785,0.840000
1295,0.390000
1285,0.390000
3559,1.080000
1039,0.310000
2881,0.870000
3037,0.920000
2054,0.620000
3503,1.050000
3297,1.000000
2325,0.700000
1199,0.360000
3350,1.020000
3427,1.040000
1080,0.330000
3207,0.970000
3016,0.920000
1386,0.420000
3296,1.000000
1102,0.340000
1592,0.480000
3445,1.050000
1328,0.400000
3736,1.130000
1571,0.480000
3361,1.020000
2833,0.860000
3812,1.160000
2313,0.700000
2012,0.620000
3922,1.190000
3616,1.090000
2392,0.730000
2551,0.770000
2184,0.660000
2361,0.710000
2784,0.840000
3135,0.950000
2055,0.620000
2092,0.630000
1972,0.600000
3089,0.930000
1700,0.520000
3997,1.200000
3006,0.910000
2332,0.710000
1132,0.340000
1806,0.540000
2285,0.690000
1054,0.320000
2173,0.650000
1685,0.510000
1138,0.340000
3324,1.010000
3889,1.180000
1219,0.370000
1407,0.430000
1808,0.550000
2918,0.890000
2634,0.800000
2239,0.680000
2665,0.810000
3695,1.120000
3592,1.090000
2542,0.770000
2255,0.690000
2148,0.650000
2076,0.630000
2217,0.680000
3201,0.970000
2033,0.610000
3254,0.990000
2425,0.740000
3142,0.950000
3972,1.210000
2585,0.790000
1812,0.550000
3172,0.960000
1600,0.480000
2198,0.670000
2788,0.850000
