Factorial,Time
376,0.110000
3951,1.200000
378,0.110000
1888,0.580000
380,0.110000
1731,0.530000
382,0.110000
2916,0.890000
384,0.120000
2789,0.840000
386,0.120000
3114,0.950000
388,0.110000
3195,0.970000
390,0.120000
2742,0.830000
392,0.120000
2360,0.720000
394,0.120000
2921,0.890000
396,0.120000
3173,0.960000
398,0.120000
2091,0.640000
0,0.000000
2648,0.800000
2,0.000000
1181,0.360000
4,0.000000
1097,0.330000
6,0.010000
2890,0.870000
8,0.010000
2150,0.650000
10,0.000000
1421,0.430000
12,0.000000
2821,0.860000
14,0.000000
3026,0.920000
16,0.010000
1481,0.450000
18,0.000000
2703,0.820000
20,0.010000
3267,0.990000
22,0.010000
2223,0.670000
24,0.010000
1357,0.410000
26,0.010000
1285,0.390000
28,0.010000
3841,1.160000
30,0.010000
2529,0.760000
32,0.010000
2235,0.680000
34,0.010000
2477,0.740000
36,0.020000
3983,1.200000
38,0.010000
2066,0.620000
40,0.020000
2101,0.630000
42,0.010000
3453,1.050000
44,0.010000
3366,1.010000
46,0.020000
1907,0.570000
48,0.020000
2550,0.770000
50,0.010000
3691,1.120000
52,0.020000
1540,0.470000
54,0.010000
2993,0.910000
56,0.020000
3470,1.050000
58,0.020000
2561,0.780000
60,0.020000
1744,0.530000
62,0.020000
2623,0.790000
64,0.030000
2007,0.610000
66,0.020000
1593,0.480000
68,0.020000
2454,0.750000
70,0.020000
3098,0.940000
72,0.020000
2951,0.900000
74,0.020000
2659,0.810000
76,0.020000
2413,0.730000
78,0.030000
3634,1.100000
80,0.020000
3621,1.100000
82,0.030000
3145,0.950000
84,0.030000
2447,0.740000
86,0.030000
1376,0.420000
88,0.020000
2197,0.670000
90,0.030000
2721,0.820000
92,0.030000
3768,1.140000
94,0.030000
2395,0.720000
96,0.030000
1422,0.430000
98,0.030000
2414,0.730000
100,0.030000
2913,0.870000
102,0.030000
3457,1.050000
104,0.030000
1920,0.590000
106,0.030000
2784,0.850000
108,0.030000
3353,1.020000
110,0.030000
1971,0.600000
112,0.030000
3745,1.140000
114,0.040000
3177,0.960000
116,0.040000
2705,0.820000
118,0.030000
1261,0.390000
120,0.030000
1893,0.580000
122,0.040000
