Factorial,Time
0,0.010000
1,0.010000
2,0.010000
3,0.010000
4,0.010000
5,0.310000
6,0.010000
7,0.010000
8,0.010000
9,0.010000
10,0.020000
11,0.320000
12,0.010000
13,0.010000
14,0.010000
15,0.020000
16,0.010000
17,0.330000
18,0.010000
19,0.020000
20,0.010000
21,0.010000
22,0.020000
23,0.330000
24,0.020000
25,0.020000
26,0.010000
27,0.020000
28,0.010000
29,0.350000
30,0.010000
31,0.020000
32,0.020000
33,0.010000
34,0.020000
35,0.350000
36,0.020000
37,0.020000
38,0.020000
39,0.020000
40,0.020000
41,0.360000
42,0.010000
43,0.020000
44,0.030000
45,0.020000
46,0.020000
47,0.360000
48,0.020000
49,0.030000
50,0.020000
51,0.020000
52,0.030000
53,0.370000
54,0.020000
55,0.030000
56,0.020000
57,0.020000
58,0.030000
59,0.380000
60,0.030000
61,0.020000
62,0.020000
63,0.030000
64,0.030000
65,0.380000
66,0.030000
67,0.030000
68,0.020000
69,0.030000
70,0.030000
71,0.390000
72,0.030000
73,0.030000
74,0.020000
75,0.030000
76,0.030000
77,0.400000
78,0.030000
79,0.030000
80,0.030000
81,0.030000
82,0.030000
83,0.410000
84,0.030000
85,0.030000
86,0.030000
87,0.030000
88,0.030000
89,0.420000
90,0.030000
91,0.040000
92,0.030000
93,0.030000
94,0.040000
95,0.420000
96,0.030000
97,0.040000
98,0.030000
99,0.040000
100,0.030000
101,0.430000
102,0.040000
103,0.030000
104,0.040000
105,0.030000
106,0.040000
107,0.440000
108,0.040000
109,0.030000
110,0.040000
111,0.040000
112,0.040000
113,0.440000
114,0.040000
115,0.040000
116,0.040000
117,0.040000
118,0.040000
119,0.450000
120,0.040000
121,0.040000
122,0.050000
123,0.040000
124,0.040000
125,0.460000
126,0.040000
127,0.040000
128,0.050000
129,0.040000
130,0.040000
131,0.470000
132,0.040000
133,0.050000
134,0.040000
135,0.040000
136,0.050000
137,0.480000
138,0.040000
139,0.040000
140,0.050000
141,0.040000
142,0.050000
143,0.480000
144,0.050000
145,0.050000
146,0.040000
147,0.050000
148,0.040000
149,0.500000
150,0.040000
151,0.050000
152,0.050000
153,0.050000
154,0.050000
155,0.500000
156,0.040000
157,0.050000
158,0.050000
159,0.050000
160,0.050000
161,0.510000
162,0.050000
163,0.050000
164,0.050000
165,0.050000
166,0.050000
167,0.520000
168,0.050000
169,0.050000
170,0.050000
171,0.060000
172,0.050000
173,0.520000
174,0.060000
175,0.050000
176,0.050000
177,0.060000
178,0.050000
179,0.530000
180,0.060000
181,0.050000
182,0.060000
183,0.050000
184,0.060000
185,0.540000
186,0.050000
187,0.060000
188,0.060000
189,0.050000
190,0.060000
191,0.550000
192,0.050000
193,0.060000
194,0.060000
195,0.060000
196,0.060000
197,0.550000
198,0.060000
199,0.060000
200,0.060000
201,0.060000
202,0.060000
203,0.560000
204,0.060000
205,0.060000
206,0.060000
207,0.060000
208,0.060000
209,0.570000
210,0.070000
211,0.060000
212,0.060000
213,0.060000
214,0.070000
215,0.580000
216,0.060000
217,0.060000
218,0.070000
219,0.060000
220,0.070000
221,0.580000
222,0.060000
223,0.070000
224,0.060000
225,0.070000
226,0.070000
227,0.590000
228,0.070000
229,0.060000
230,0.070000
231,0.070000
232,0.060000
233,0.600000
234,0.070000
235,0.070000
236,0.070000
237,0.070000
238,0.070000
239,0.600000
240,0.070000
241,0.070000
242,0.070000
243,0.070000
244,0.070000
245,0.620000
246,0.070000
247,0.070000
248,0.070000
249,0.070000
250,0.080000
251,0.620000
252,0.070000
253,0.070000
254,0.080000
255,0.070000
256,0.070000
257,0.630000
258,0.080000
259,0.080000
260,0.070000
261,0.080000
262,0.070000
263,0.640000
264,0.080000
265,0.070000
266,0.080000
267,0.080000
268,0.080000
269,0.640000
270,0.080000
271,0.080000
272,0.070000
273,0.080000
274,0.080000
275,0.650000
276,0.080000
277,0.080000
278,0.080000
279,0.080000
280,0.080000
281,0.660000
282,0.080000
283,0.080000
284,0.080000
285,0.080000
286,0.080000
287,0.670000
288,0.080000
289,0.080000
290,0.080000
291,0.090000
292,0.080000
293,0.670000
294,0.090000
295,0.080000
296,0.080000
297,0.090000
298,0.080000
299,0.690000
300,0.090000
301,0.080000
302,0.090000
303,0.080000
304,0.090000
305,0.690000
306,0.090000
307,0.080000
308,0.090000
309,0.090000
310,0.080000
311,0.700000
312,0.090000
313,0.090000
314,0.080000
315,0.090000
316,0.090000
317,0.710000
318,0.090000
319,0.080000
320,0.090000
321,0.090000
322,0.090000
323,0.720000
324,0.090000
325,0.090000
326,0.090000
327,0.090000
328,0.090000
329,0.730000
330,0.090000
331,0.090000
332,0.090000
333,0.100000
334,0.090000
335,0.730000
336,0.090000
337,0.100000
338,0.090000
339,0.100000
340,0.090000
341,0.740000
342,0.090000
343,0.100000
344,0.090000
345,0.100000
346,0.090000
347,0.750000
348,0.090000
349,0.100000
350,0.100000
351,0.090000
352,0.100000
353,0.750000
354,0.100000
355,0.100000
356,0.100000
357,0.100000
358,0.100000
359,0.750000
360,0.100000
361,0.100000
362,0.100000
363,0.100000
364,0.110000
365,0.760000
366,0.100000
367,0.100000
368,0.100000
369,0.110000
370,0.100000
371,0.770000
372,0.110000
373,0.100000
374,0.100000
375,0.110000
376,0.100000
377,0.780000
378,0.100000
379,0.110000
380,0.100000
381,0.110000
382,0.100000
383,0.790000
384,0.110000
385,0.100000
386,0.110000
387,0.110000
388,0.100000
389,0.800000
390,0.100000
391,0.110000
392,0.110000
393,0.110000
394,0.110000
395,0.800000
396,0.110000
397,0.110000
398,0.110000
399,0.110000
400,0.110000
401,0.810000
402,0.110000
403,0.110000
404,0.110000
405,0.120000
406,0.110000
407,0.820000
408,0.110000
409,0.110000
410,0.120000
411,0.110000
412,0.110000
413,0.840000
414,0.110000
415,0.110000
416,0.120000
417,0.110000
418,0.120000
419,0.830000
420,0.120000
421,0.110000
422,0.120000
423,0.110000
424,0.120000
425,0.840000
426,0.120000
427,0.110000
428,0.120000
429,0.120000
430,0.110000
431,0.850000
432,0.120000
433,0.120000
434,0.120000
435,0.120000
436,0.120000
437,0.850000
438,0.120000
439,0.120000
440,0.120000
441,0.120000
442,0.120000
443,0.860000
444,0.130000
445,0.120000
446,0.120000
447,0.120000
448,0.120000
449,0.870000
450,0.130000
451,0.120000
452,0.120000
453,0.120000
454,0.130000
455,0.880000
456,0.120000
457,0.120000
458,0.130000
459,0.120000
460,0.130000
461,0.880000
462,0.130000
463,0.130000
464,0.120000
465,0.130000
466,0.120000
467,0.900000
468,0.130000
469,0.120000
470,0.130000
471,0.130000
472,0.130000
473,0.900000
474,0.130000
475,0.130000
476,0.130000
477,0.130000
478,0.130000
479,0.910000
480,0.130000
481,0.130000
482,0.130000
483,0.130000
484,0.130000
485,0.920000
486,0.130000
487,0.130000
488,0.130000
489,0.130000
490,0.140000
491,0.920000
492,0.130000
493,0.140000
494,0.130000
495,0.130000
496,0.140000
497,0.930000
498,0.130000
499,0.140000
500,0.130000
501,0.140000
502,0.140000
503,0.930000
504,0.140000
505,0.140000
506,0.130000
507,0.140000
508,0.140000
509,0.940000
510,0.140000
511,0.140000
512,0.140000
513,0.140000
514,0.140000
515,0.950000
516,0.140000
517,0.140000
518,0.140000
519,0.140000
520,0.140000
521,0.960000
522,0.140000
523,0.140000
524,0.140000
525,0.140000
526,0.140000
527,0.970000
528,0.150000
529,0.140000
530,0.140000
531,0.140000
532,0.150000
533,0.970000
534,0.150000
535,0.140000
536,0.150000
537,0.140000
538,0.150000
539,0.980000
