Factorial,Time
0,0.640000
1,0.000000
2,0.800000
3,0.000000
4,0.360000
5,0.000000
6,0.340000
7,0.000000
8,0.880000
9,0.000000
10,0.660000
11,0.000000
12,0.430000
13,0.010000
14,0.850000
15,0.010000
16,0.920000
17,0.000000
18,0.450000
19,0.010000
20,0.820000
21,0.000000
22,1.000000
23,0.010000
24,0.670000
25,0.010000
26,0.410000
27,0.010000
28,0.390000
29,0.010000
30,1.170000
31,0.010000
32,0.770000
33,0.010000
34,0.680000
35,0.010000
36,0.750000
37,0.010000
38,1.210000
39,0.010000
40,0.630000
41,0.010000
42,0.640000
43,0.010000
44,1.050000
45,0.020000
46,1.020000
47,0.010000
48,0.580000
49,0.020000
50,0.770000
51,0.020000
52,1.130000
53,0.010000
54,0.470000
55,0.020000
56,0.910000
57,0.010000
58,1.060000
59,0.010000
60,0.780000
61,0.020000
62,0.530000
63,0.020000
64,0.800000
65,0.020000
66,0.600000
67,0.030000
68,0.480000
69,0.020000
70,0.740000
71,0.030000
72,0.940000
73,0.020000
74,0.900000
75,0.020000
76,0.810000
77,0.020000
78,0.740000
79,0.020000
80,1.100000
81,0.030000
82,1.100000
83,0.020000
84,0.960000
85,0.030000
86,0.740000
87,0.030000
88,0.420000
89,0.030000
90,0.660000
91,0.030000
92,0.830000
93,0.020000
94,1.150000
95,0.030000
96,0.730000
97,0.030000
98,0.430000
99,0.030000
100,0.730000
101,0.030000
102,0.880000
103,0.040000
104,1.050000
105,0.030000
106,0.580000
107,0.030000
108,0.850000
109,0.030000
110,1.030000
111,0.030000
112,0.610000
113,0.030000
114,1.140000
115,0.030000
116,0.970000
117,0.030000
118,0.830000
119,0.040000
120,0.380000
121,0.040000
122,0.570000
123,0.040000
124,0.940000
125,0.040000
126,0.620000
127,0.040000
128,0.910000
129,0.040000
130,0.790000
131,0.040000
132,0.420000
133,0.040000
134,0.780000
135,0.040000
136,1.070000
137,0.040000
138,0.370000
139,0.040000
140,0.390000
141,0.040000
142,1.000000
143,0.040000
144,0.710000
145,0.040000
146,0.850000
147,0.040000
148,0.530000
149,0.050000
150,0.890000
151,0.040000
152,0.510000
153,0.050000
154,0.770000
155,0.050000
156,0.950000
157,0.040000
158,0.780000
159,0.050000
160,1.030000
161,0.050000
162,1.140000
163,0.050000
164,0.840000
165,0.050000
166,0.460000
167,0.050000
168,1.030000
169,0.050000
170,1.190000
171,0.050000
172,0.490000
173,0.050000
174,0.850000
175,0.060000
176,0.930000
177,0.050000
178,1.210000
179,0.050000
180,0.630000
181,0.060000
182,0.650000
183,0.060000
184,0.870000
185,0.050000
186,0.750000
187,0.050000
188,0.520000
189,0.060000
190,1.190000
191,0.060000
192,1.120000
193,0.060000
194,0.600000
195,0.050000
196,0.350000
197,0.060000
198,0.820000
199,0.060000
200,0.690000
201,0.060000
202,0.550000
203,0.060000
204,0.520000
205,0.060000
206,0.730000
207,0.060000
208,0.460000
209,0.060000
210,0.500000
211,0.060000
212,0.990000
213,0.060000
214,0.900000
215,0.060000
216,0.770000
217,0.060000
218,0.800000
219,0.070000
220,0.450000
221,0.070000
222,0.560000
223,0.070000
224,0.950000
225,0.070000
226,0.340000
227,0.070000
228,0.600000
229,0.070000
230,1.080000
231,0.070000
232,1.210000
233,0.070000
234,0.670000
235,0.080000
236,1.180000
237,0.070000
238,0.870000
239,0.080000
240,0.940000
241,0.070000
242,0.750000
243,0.070000
244,0.590000
245,0.080000
246,0.440000
247,0.080000
248,0.670000
249,0.080000
250,0.980000
251,0.080000
252,1.070000
253,0.080000
254,1.030000
255,0.080000
256,0.350000
257,0.080000
258,1.120000
259,0.080000
260,1.190000
261,0.080000
262,0.460000
263,0.080000
264,0.620000
265,0.080000
266,0.480000
267,0.080000
268,0.830000
269,0.080000
270,0.670000
271,0.080000
272,0.740000
273,0.080000
274,0.510000
275,0.080000
276,0.990000
277,0.080000
278,0.750000
279,0.090000
280,1.190000
281,0.080000
282,1.020000
283,0.090000
284,1.000000
285,0.090000
286,0.800000
287,0.090000
288,1.010000
289,0.090000
290,1.150000
291,0.090000
292,1.060000
293,0.090000
294,0.970000
295,0.090000
296,0.610000
297,0.090000
298,0.680000
299,0.090000
300,0.700000
301,0.100000
302,1.200000
303,0.090000
304,0.710000
305,0.090000
306,0.680000
307,0.100000
308,0.390000
309,0.100000
310,0.950000
311,0.100000
312,0.350000
313,0.100000
314,0.350000
315,0.100000
316,0.630000
317,0.100000
318,0.610000
319,0.100000
320,0.480000
321,0.100000
322,0.590000
323,0.100000
324,0.620000
325,0.100000
326,0.540000
327,0.100000
328,0.910000
329,0.100000
330,1.030000
331,0.100000
332,1.130000
333,0.100000
334,0.870000
335,0.110000
336,1.170000
337,0.100000
338,0.380000
339,0.110000
340,0.700000
341,0.100000
342,0.920000
343,0.110000
344,0.450000
345,0.100000
346,1.040000
347,0.110000
348,0.310000
349,0.100000
350,0.710000
351,0.100000
352,0.480000
353,0.110000
354,1.030000
355,0.110000
356,0.560000
357,0.110000
358,1.110000
359,0.110000
360,0.990000
361,0.110000
362,1.170000
363,0.110000
364,0.810000
365,0.110000
366,0.590000
367,0.110000
368,0.330000
369,0.110000
370,0.630000
371,0.110000
372,0.710000
373,0.120000
374,0.470000
375,0.120000
376,0.990000
377,0.120000
378,1.200000
379,0.110000
380,0.570000
381,0.120000
382,0.520000
383,0.120000
384,0.890000
385,0.110000
386,0.860000
387,0.110000
388,0.950000
389,0.120000
390,0.970000
391,0.120000
392,0.830000
393,0.120000
394,0.710000
395,0.120000
396,0.890000
397,0.120000
398,0.960000
399,0.130000
