Factorial,Time
31,0.010000
32,0.000000
33,0.010000
34,0.010000
35,0.010000
36,0.010000
37,0.010000
38,0.010000
39,0.010000
40,0.020000
41,0.020000
42,0.010000
43,0.010000
56,0.020000
44,0.010000
45,0.020000
46,0.010000
47,0.010000
55,0.020000
61,0.020000
48,0.020000
57,0.020000
58,0.010000
59,0.020000
60,0.020000
63,0.020000
49,0.010000
66,0.020000
64,0.020000
62,0.010000
65,0.020000
73,0.020000
70,0.020000
78,0.030000
74,0.020000
71,0.020000
76,0.020000
67,0.020000
68,0.020000
69,0.020000
50,0.020000
51,0.010000
75,0.020000
72,0.020000
52,0.010000
53,0.010000
54,0.020000
77,0.030000
79,0.030000
83,0.020000
85,0.020000
89,0.020000
80,0.020000
86,0.030000
82,0.020000
81,0.020000
96,0.030000
84,0.030000
90,0.030000
97,0.030000
88,0.030000
91,0.030000
98,0.030000
93,0.030000
87,0.030000
95,0.030000
92,0.030000
102,0.030000
99,0.030000
94,0.030000
100,0.030000
107,0.030000
101,0.030000
103,0.030000
105,0.030000
104,0.030000
106,0.030000
108,0.030000
111,0.030000
112,0.040000
109,0.030000
110,0.040000
114,0.040000
113,0.030000
115,0.030000
117,0.040000
116,0.040000
118,0.040000
119,0.030000
120,0.030000
121,0.030000
123,0.030000
124,0.040000
122,0.040000
125,0.040000
127,0.040000
128,0.040000
126,0.040000
129,0.040000
130,0.030000
131,0.040000
132,0.040000
133,0.040000
135,0.040000
136,0.040000
134,0.040000
137,0.040000
138,0.040000
139,0.040000
140,0.040000
142,0.040000
144,0.040000
143,0.050000
141,0.040000
145,0.050000
1035,0.320000
1185,0.360000
146,0.040000
1060,0.320000
147,0.050000
148,0.040000
1110,0.340000
1285,0.390000
1335,0.400000
150,0.040000
149,0.040000
151,0.040000
152,0.050000
153,0.050000
1135,0.340000
1160,0.350000
157,0.040000
154,0.050000
155,0.050000
156,0.040000
1210,0.370000
160,0.040000
161,0.040000
162,0.050000
158,0.040000
159,0.050000
164,0.050000
165,0.050000
163,0.050000
166,0.050000
167,0.050000
1235,0.370000
168,0.050000
169,0.050000
1510,0.460000
1310,0.400000
171,0.050000
1085,0.330000
173,0.050000
174,0.060000
1385,0.420000
170,0.050000
175,0.060000
172,0.060000
176,0.050000
177,0.050000
178,0.050000
179,0.050000
181,0.050000
180,0.060000
1260,0.390000
1410,0.420000
183,0.050000
184,0.050000
182,0.060000
185,0.050000
186,0.050000
191,0.050000
187,0.050000
1435,0.440000
188,0.060000
189,0.050000
1460,0.440000
190,0.060000
192,0.060000
194,0.060000
195,0.060000
1360,0.410000
197,0.060000
193,0.050000
198,0.060000
199,0.060000
200,0.060000
201,0.060000
196,0.060000
204,0.060000
202,0.060000
203,0.060000
1485,0.450000
205,0.070000
206,0.060000
208,0.070000
1535,0.460000
207,0.070000
210,0.060000
211,0.060000
212,0.060000
214,0.060000
209,0.070000
1685,0.510000
215,0.060000
1710,0.510000
1560,0.470000
216,0.070000
221,0.070000
217,0.060000
213,0.060000
218,0.070000
227,0.070000
219,0.060000
1585,0.480000
225,0.060000
222,0.070000
220,0.060000
223,0.070000
226,0.060000
224,0.070000
228,0.070000
229,0.070000
1610,0.480000
233,0.070000
230,0.070000
232,0.070000
234,0.070000
235,0.080000
236,0.070000
231,0.080000
1635,0.490000
238,0.070000
239,0.080000
240,0.070000
241,0.070000
242,0.080000
237,0.070000
243,0.070000
244,0.080000
245,0.070000
246,0.070000
247,0.080000
249,0.080000
250,0.070000
248,0.070000
1660,0.510000
253,0.070000
251,0.080000
252,0.080000
255,0.070000
254,0.070000
257,0.080000
256,0.080000
258,0.080000
259,0.070000
1760,0.530000
260,0.080000
1885,0.570000
262,0.080000
263,0.080000
266,0.080000
261,0.080000
1785,0.540000
265,0.080000
267,0.080000
264,0.080000
1810,0.550000
268,0.080000
269,0.080000
274,0.090000
270,0.080000
271,0.080000
272,0.080000
1835,0.570000
1735,0.530000
273,0.080000
1860,0.560000
281,0.080000
275,0.080000
277,0.080000
276,0.080000
278,0.080000
280,0.090000
279,0.090000
2010,0.610000
288,0.090000
283,0.090000
282,0.090000
284,0.090000
286,0.090000
1910,0.580000
287,0.080000
289,0.080000
1935,0.590000
290,0.090000
293,0.090000
292,0.090000
291,0.090000
285,0.090000
294,0.090000
295,0.090000
1960,0.600000
297,0.090000
296,0.090000
299,0.090000
300,0.090000
298,0.090000
301,0.090000
304,0.090000
303,0.090000
307,0.090000
302,0.090000
306,0.090000
308,0.090000
2035,0.620000
309,0.090000
310,0.090000
315,0.090000
305,0.090000
2060,0.620000
311,0.090000
312,0.090000
313,0.090000
1985,0.600000
2085,0.630000
314,0.090000
321,0.090000
317,0.090000
2135,0.650000
316,0.090000
318,0.100000
319,0.090000
2110,0.640000
320,0.100000
322,0.100000
323,0.100000
324,0.100000
325,0.100000
333,0.100000
