Factorial,Time
0,0.920000
1,0.840000
2,0.770000
3,0.750000
4,0.960000
5,0.710000
6,0.850000
7,0.740000
8,0.510000
9,0.370000
10,0.570000
11,1.000000
12,0.740000
13,0.760000
14,0.440000
15,0.460000
16,1.190000
17,0.980000
18,1.150000
19,1.070000
20,0.480000
21,0.670000
22,0.990000
23,0.840000
24,0.890000
25,1.040000
26,0.720000
27,0.350000
28,0.890000
29,0.420000
30,0.830000
31,0.840000
32,0.470000
33,0.900000
34,0.630000
35,0.780000
36,1.000000
37,0.910000
38,1.210000
39,0.870000
40,0.600000
41,1.150000
42,0.730000
43,0.440000
44,0.580000
45,1.090000
46,0.670000
47,0.800000
48,0.910000
49,1.120000
50,0.890000
51,1.170000
52,0.370000
53,0.570000
54,0.500000
55,0.970000
56,0.610000
57,0.910000
58,0.490000
59,0.860000
60,0.440000
61,0.880000
62,0.570000
63,1.000000
64,0.830000
65,0.390000
66,0.500000
67,0.830000
68,0.750000
69,0.790000
70,0.780000
71,0.570000
72,0.740000
73,0.750000
74,0.850000
75,0.390000
76,0.390000
77,0.590000
78,1.110000
79,0.360000
80,1.030000
81,0.800000
82,0.980000
83,1.100000
84,0.960000
85,1.040000
86,0.910000
87,0.340000
88,1.170000
89,1.190000
90,1.080000
91,0.420000
92,0.830000
93,0.780000
94,0.660000
95,1.010000
96,0.590000
97,0.500000
98,0.660000
99,0.350000
100,0.940000
101,0.890000
102,0.620000
103,0.900000
104,0.510000
105,0.820000
106,0.630000
107,0.780000
108,0.610000
109,0.370000
110,0.500000
111,0.840000
112,0.490000
113,0.590000
114,1.060000
115,0.870000
116,0.400000
117,1.070000
118,1.150000
119,0.660000
120,1.150000
121,0.720000
122,1.100000
123,0.920000
124,0.810000
125,0.450000
126,0.430000
127,0.520000
128,0.430000
129,0.330000
130,0.460000
131,0.870000
132,1.130000
133,0.350000
134,1.020000
135,1.050000
136,0.730000
137,1.020000
138,0.410000
139,0.840000
140,0.650000
141,0.460000
142,0.490000
143,0.940000
144,0.690000
145,0.440000
146,0.530000
147,0.860000
148,1.210000
149,0.530000
150,0.610000
151,0.860000
152,0.510000
153,1.080000
154,0.710000
155,0.910000
156,0.530000
157,0.880000
158,1.160000
159,1.100000
160,0.840000
161,0.520000
162,1.030000
163,1.060000
164,0.990000
165,0.530000
166,0.490000
167,0.620000
168,0.460000
169,0.850000
170,0.360000
171,0.870000
172,0.490000
173,0.710000
174,0.810000
175,0.500000
176,0.350000
177,0.550000
178,0.770000
179,0.690000
180,0.740000
181,0.900000
182,0.860000
183,0.400000
184,0.650000
185,1.130000
186,0.780000
187,0.440000
188,1.010000
189,0.520000
190,1.060000
191,1.080000
192,0.860000
193,0.340000
194,0.920000
195,1.020000
196,0.980000
197,1.100000
198,0.930000
199,1.110000
200,0.510000
201,0.320000
202,0.810000
203,0.640000
204,0.990000
205,0.750000
206,0.540000
207,1.060000
208,0.500000
209,0.840000
210,0.400000
211,0.390000
212,1.080000
213,0.320000
214,0.870000
215,0.930000
216,0.620000
217,1.070000
218,1.010000
219,0.710000
220,0.360000
221,1.020000
222,1.040000
223,0.330000
224,0.970000
225,0.920000
226,0.420000
227,1.000000
228,0.330000
229,0.490000
230,1.040000
231,0.410000
232,1.130000
233,0.480000
234,1.020000
235,0.860000
236,1.160000
237,0.700000
238,0.610000
239,1.200000
240,1.090000
241,0.730000
242,0.770000
243,0.670000
244,0.720000
245,0.840000
246,0.950000
247,0.630000
248,0.630000
249,0.600000
250,0.950000
251,0.520000
252,1.210000
253,0.920000
254,0.710000
255,0.340000
256,0.550000
257,0.700000
258,0.330000
259,0.660000
260,0.510000
261,0.340000
262,1.010000
263,1.180000
264,0.370000
265,0.430000
266,0.550000
267,0.890000
268,0.800000
269,0.680000
270,0.820000
271,1.120000
272,1.090000
273,0.770000
274,0.690000
275,0.650000
276,0.630000
277,0.680000
278,0.970000
279,0.620000
280,0.990000
281,0.730000
282,0.960000
283,1.210000
284,0.780000
285,0.560000
286,0.960000
287,0.490000
288,0.660000
289,0.850000
290,0.610000
291,0.840000
292,0.810000
293,1.060000
294,0.690000
295,0.540000
296,0.320000
297,0.560000
298,0.790000
299,0.950000
